Indicativo;parámetro;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
3195;Mn;10.1;12.0;16.3;18.4;22.1;28.6;32.4;31.6;26.6;19.4;13.5;10.1;19.9
3195;Md;9.8;12.0;16.3;18.2;22.2;28.2;32.1;31.3;26.4;19.4;13.5;10.0;19.9
3195;S;1.18;1.67;1.89;1.89;2.22;2.27;1.30;1.39;1.75;1.94;1.30;0.75;0.55
3195;Cv;0.12;0.14;0.12;0.10;0.10;0.08;0.04;0.04;0.07;0.10;0.10;0.07;0.03
3175;N;29;30;30;30;30;29;30;30;30;29;30;30;27
3175;Min;8.1;10.2;12.6;14.2;16.5;22.5;30.6;30.1;24.1;15.6;12.8;9.1;19.9
3175;Q1;9.5;11.4;15.6;16.8;21.1;27.8;32.3;31.7;26.3;19.2;13.4;10.4;20.6
3175;Q2;10.6;12.5;16.9;18.4;22.2;29.5;32.7;32.2;27.5;20.7;14.0;10.9;21.0
3175;Q3;11.2;13.7;17.2;19.8;24.1;30.4;33.9;33.0;27.9;21.9;15.2;11.2;21.3
3175;Q4;11.5;14.5;18.6;20.6;25.7;31.5;34.5;33.7;29.2;22.8;16.4;11.6;21.8
3175;Max;13.2;17.2;22.0;22.4;27.1;33.7;35.9;35.3;31.6;24.2;18.2;12.8;22.3
3175;Mn;11.0;13.0;17.1;19.2;23.2;30.1;33.2;32.6;27.7;21.5;14.8;11.1;21.2
3175;Md;10.7;13.1;17.1;18.8;23.2;29.6;33.3;32.7;27.8;21.0;14.8;11.0;21.2
3175;S;1.29;1.77;1.97;1.97;2.40;2.51;1.33;1.26;1.79;2.18;1.45;0.80;0.61
3175;Cv;0.12;0.13;0.11;0.10;0.10;0.08;0.04;0.04;0.06;0.10;0.10;0.07;0.03
2462;N;30;30;30;30;30;30;30;30;30;30;30;30;30
2462;Min;-1.2;-1.2;1.3;1.5;3.6;11.7;19.4;17.5;12.8;4.5;2.3;1.4;9.0
2462;Q1;0.6;0.3;3.7;4.3;9.2;16.2;21.1;20.8;15.8;8.5;3.8;2.1;10.2
2462;Q2;1.4;1.9;5.1;6.6;10.6;17.9;21.7;21.8;16.6;10.3;4.6;2.7;10.6
2462;Q3;2.2;3.4;6.2;8.3;12.5;18.9;23.0;22.7;18.2;11.1;6.0;3.5;11.0
2462;Q4;3.9;6.0;7.5;8.8;14.3;20.0;23.7;23.5;19.2;12.9;7.3;4.6;11.3
2462;Max;6.8;7.9;11.9;12.1;16.1;21.8;24.8;25.5;21.2;14.8;9.7;6.0;12.1
2462;Mn;1.9;2.9;5.8;7.9;11.7;18.7;22.8;22.4;17.4;10.7;5.3;2.9;10.8
2462;Md;2.3;3.0;5.8;7.0;11.5;18.0;22.4;22.2;17.2;10.6;5.6;3.3;10.7
2462;S;1.94;2.53;2.36;2.63;2.76;2.47;1.45;1.75;2.13;2.27;1.95;1.27;0.69
2462;Cv;0.86;0.84;0.41;0.37;0.24;0.14;0.06;0.08;0.12;0.21;0.35;0.39;0.06
6155A;N;30;30;30;30;30;30;30;30;29;30;30;30;29
6155A;Min;15.5;15.3;17.3;19.1;22.0;26.2;28.7;28.3;26.3;21.5;18.4;15.9;22.4
6155A;Q1;15.8;16.6;18.8;20.5;23.2;27.1;29.4;30.1;27.6;23.1;19.4;16.9;23.0
6155A;Q2;16.6;17.2;19.1;21.1;24.3;27.8;30.6;30.8;27.9;23.9;19.7;17.3;23.3
6155A;Q3;17.1;17.7;19.8;21.7;24.8;28.2;30.8;31.5;28.5;24.3;20.2;17.6;23.4
6155A;Q4;17.5;19.2;20.7;22.4;25.3;29.2;31.4;31.8;29.0;24.8;21.1;18.2;23.6
6155A;Max;19.3;20.6;21.6;23.8;26.0;30.4;32.5;32.3;29.6;26.3;22.4;19.1;24.0
6155A;Mn;16.7;17.4;19.3;21.4;24.6;28.0;30.7;30.9;28.2;24.2;19.9;17.5;23.3
6155A;Md;16.8;17.7;19.6;21.4;24.3;28.1;30.5;30.8;28.2;24.1;20.1;17.5;23.3
6155A;S;0.90;1.31;1.07;1.07;1.07;1.09;1.03;1.10;0.80;1.11;1.03;0.78;0.43
6155A;Cv;0.05;0.07;0.05;0.05;0.04;0.04;0.03;0.04;0.03;0.05;0.05;0.04;0.02
6000A;N;29;28;30;30;30;30;30;30;30;30;30;30;28
6000A;Min;14.8;14.7;16.8;17.8;20.0;22.6;26.1;27.1;24.9;21.9;18.1;15.8;21.1
6000A;Q1;15.8;16.0;17.7;19.2;21.6;24.8;27.8;28.1;26.3;22.8;19.1;16.8;21.9
6000A;Q2;16.5;16.7;18.1;19.9;22.3;25.7;28.5;28.5;26.7;23.4;19.8;17.3;22.1
6000A;Q3;16.8;17.2;18.7;20.3;22.9;26.1;28.9;29.9;27.1;24.1;20.7;18.0;22.5
6000A;Q4;17.6;17.9;19.3;21.0;23.5;27.0;30.3;30.7;28.2;24.6;21.4;18.7;22.8
6000A;Max;18.8;19.5;21.5;22.0;24.5;27.9;31.6;32.9;31.0;25.2;22.6;20.5;23.8
6000A;Mn;16.7;16.9;18.5;20.1;22.7;25.8;28.8;29.2;27.0;23.8;20.3;17.7;22.2
6000A;Md;16.7;17.0;18.5;20.1;22.5;25.8;28.9;29.4;27.1;23.7;20.3;17.8;22.3
6000A;S;0.94;1.17;1.07;0.92;1.03;1.16;1.38;1.52;1.24;0.90;1.24;1.22;0.63
6000A;Cv;0.06;0.07;0.06;0.05;0.05;0.05;0.05;0.05;0.05;0.04;0.06;0.07;0.03
7178I;N;26;26;26;27;27;27;27;27;27;27;27;27;26
7178I;Min;14.2;15.5;18.4;20.8;23.0;27.5;31.7;31.7;28.0;23.6;17.4;14.9;24.1
7178I;Q1;15.2;16.8;19.5;21.6;25.5;30.3;33.1;33.3;29.8;24.7;19.2;16.3;24.6
7178I;Q2;16.1;17.7;20.4;23.0;26.5;30.8;33.6;33.9;30.1;25.0;19.7;16.9;24.8
7178I;Q3;17.0;18.4;20.9;23.6;27.1;31.1;34.3;34.6;30.7;25.9;20.7;17.4;25.0
7178I;Q4;17.8;20.1;22.5;24.8;28.0;31.8;34.6;35.1;31.0;26.8;21.5;18.3;25.2
7178I;Max;19.6;21.8;24.8;25.3;28.9;33.4;35.8;35.9;33.0;28.2;23.2;18.8;25.7
7178I;Mn;16.4;18.0;20.7;23.4;26.7;30.9;34.0;34.0;30.4;25.5;20.1;17.1;25.0
7178I;Md;16.6;18.4;20.9;23.3;26.6;31.0;34.0;34.2;30.4;25.6;20.3;17.2;24.9
7178I;S;1.32;1.83;1.55;1.33;1.45;1.34;0.97;1.02;1.05;1.21;1.36;1.01;0.42
7178I;Cv;0.08;0.10;0.07;0.06;0.05;0.04;0.03;0.03;0.03;0.05;0.07;0.06;0.02
7228;N;30;30;30;30;30;30;30;30;30;30;30;30;30
7228;Min;13.7;15.1;18.0;21.1;22.8;26.7;31.9;31.7;27.9;23.2;17.2;14.7;23.8
7228;Q1;15.2;16.7;19.4;21.5;25.1;30.1;33.1;33.0;29.5;24.4;19.0;16.2;24.3
7228;Q2;16.2;17.6;20.2;22.9;26.1;30.5;33.8;33.7;30.0;25.1;19.5;16.6;24.7
7228;Q3;17.1;18.0;20.9;23.3;27.0;31.1;34.4;34.3;30.8;25.9;20.6;17.2;25.0
7228;Q4;18.0;19.8;22.5;24.5;27.8;32.3;35.0;35.0;31.4;27.0;21.6;18.0;25.2
7228;Max;19.4;21.8;24.5;25.4;28.8;33.7;36.0;36.1;33.0;28.1;23.0;20.1;25.5
7228;Mn;16.7;17.8;20.6;23.1;26.5;30.8;34.0;34.0;30.4;25.4;20.2;17.0;24.9
7228;Md;16.6;18.1;20.9;23.1;26.4;30.9;34.0;34.0;30.4;25.6;20.2;17.0;24.8
7228;S;1.39;1.78;1.62;1.28;1.43;1.46;1.15;1.13;1.19;1.29;1.42;1.13;0.44
7228;Cv;0.08;0.10;0.08;0.06;0.05;0.05;0.03;0.03;0.04;0.05;0.07;0.07;0.02
7031;N;30;30;30;30;30;30;29;28;30;29;28;29;25
7031;Min;13.9;14.4;16.6;19.0;21.1;24.8;26.7;26.9;25.8;21.9;17.5;14.9;21.6
7031;Q1;14.9;15.7;17.5;19.6;22.2;25.3;28.1;29.1;26.9;23.2;19.0;16.2;21.9
7031;Q2;15.7;16.3;17.9;20.1;22.9;26.1;28.7;29.2;27.2;23.7;19.6;16.5;22.2
7031;Q3;16.3;16.9;18.7;20.7;23.1;26.4;29.2;29.5;27.7;24.1;20.2;17.1;22.4
7031;Q4;17.3;18.0;19.5;21.4;23.6;27.2;29.6;30.3;28.3;25.0;21.0;17.7;22.7
7031;Max;18.5;19.4;22.1;22.4;25.9;28.4;30.6;31.4;29.5;25.9;21.5;19.6;22.9
7031;Mn;16.1;16.6;18.5;20.4;23.0;26.3;29.0;29.3;27.4;23.8;19.9;16.7;22.4
7031;Md;16.0;16.7;18.5;20.4;22.9;26.4;28.9;29.5;27.5;24.0;19.9;16.9;22.3
7031;S;1.20;1.35;1.24;0.90;1.01;0.95;0.93;0.93;0.80;1.02;1.11;1.08;0.36
7031;Cv;0.07;0.08;0.07;0.04;0.04;0.04;0.03;0.03;0.03;0.04;0.06;0.06;0.02
9262;N;28;29;30;29;28;30;29;29;29;30;29;29;24
9262;Min;5.0;7.1;10.2;10.6;13.4;19.4;24.0;24.5;20.4;13.9;8.7;7.1;16.2
9262;Q1;6.9;8.2;12.7;14.8;18.2;22.8;25.6;26.1;22.0;16.8;10.4;7.9;17.1
9262;Q2;8.5;9.6;13.1;15.7;20.0;23.7;26.9;27.3;23.7;17.9;12.1;9.1;17.5
9262;Q3;9.6;10.8;14.8;16.7;21.4;24.6;28.1;28.1;24.3;19.3;13.4;9.7;17.9
9262;Q4;10.4;12.8;16.0;17.7;22.3;26.2;29.0;29.3;25.5;20.4;14.3;11.1;18.5
9262;Max;11.4;15.9;18.5;19.1;22.8;30.1;30.6;33.2;27.9;22.5;16.0;13.0;19.3
9262;Mn;9.1;10.3;13.9;16.1;20.4;24.3;27.2;27.5;24.0;18.7;12.6;9.5;17.8
9262;Md;8.8;10.5;14.1;16.0;20.1;24.5;27.4;27.7;23.9;18.5;12.6;9.5;17.8
9262;S;1.73;2.26;2.00;1.94;2.28;2.25;1.80;1.96;1.88;2.11;1.84;1.42;0.79
9262;Cv;0.20;0.22;0.14;0.12;0.11;0.09;0.07;0.07;0.08;0.11;0.15;0.15;0.04
9263D;N;30;30;30;30;30;30;30;30;30;30;30;29;29
9263D;Min;4.9;7.2;10.6;11.5;14.1;19.8;24.5;24.5;21.4;14.3;10.0;6.5;16.9
9263D;Q1;7.8;8.5;13.2;14.8;19.0;23.6;26.6;26.2;22.5;17.3;11.4;8.9;17.7
9263D;Q2;8.6;9.7;14.1;16.2;20.7;24.8;27.6;27.8;24.0;18.9;12.3;9.6;18.1
9263D;Q3;9.8;11.4;14.9;17.1;21.9;25.6;28.6;28.7;25.1;19.8;13.6;10.2;18.6
9263D;Q4;11.0;13.7;16.2;18.1;22.8;26.6;30.0;29.8;25.9;21.2;14.7;10.7;18.9
9263D;Max;12.0;15.9;18.8;19.7;23.2;30.4;31.0;33.0;28.5;23.4;16.2;12.9;19.5
9263D;Mn;8.9;10.4;14.3;16.6;21.4;25.3;28.0;28.5;24.7;19.4;12.9;9.8;18.3
9263D;Md;9.1;10.9;14.5;16.4;20.8;25.2;28.2;28.3;24.5;19.3;13.1;9.7;18.4
9263D;S;1.84;2.44;1.94;1.92;2.18;2.11;1.75;1.97;1.82;2.13;1.68;1.40;0.70
9263D;Cv;0.20;0.22;0.13;0.12;0.10;0.08;0.06;0.07;0.07;0.11;0.13;0.14;0.04
1690A;N;30;30;29;30;30;29;30;30;29;30;29;29;28
1690A;Min;9.5;11.3;15.0;15.0;17.3;23.1;27.4;26.8;23.1;17.8;14.1;11.4;19.5
1690A;Q1;11.6;13.2;17.0;17.2;21.1;26.0;28.5;29.3;25.6;20.1;14.9;11.9;20.6
1690A;Q2;12.3;14.8;17.9;19.3;22.8;27.0;29.4;29.8;26.9;21.5;15.4;12.4;21.2
1690A;Q3;13.2;16.1;19.0;20.3;23.8;27.9;30.3;30.6;28.6;22.2;15.9;12.8;21.7
1690A;Q4;13.5;16.7;20.5;22.6;25.0;29.2;31.8;32.2;29.4;23.7;17.0;14.0;22.1
1690A;Max;14.8;18.9;25.4;24.7;26.3;32.0;33.8;34.0;31.9;24.8;18.2;15.3;22.5
1690A;Mn;12.8;15.5;18.3;20.0;23.4;27.4;29.8;30.1;27.9;21.6;15.5;12.6;21.4
1690A;Md;12.6;15.2;18.7;19.8;22.9;27.5;30.2;30.6;27.5;21.6;15.9;12.8;21.3
1690A;S;1.26;1.90;2.21;2.56;2.29;2.08;1.71;1.78;2.12;2.03;1.15;1.07;0.81
1690A;Cv;0.10;0.13;0.12;0.13;0.10;0.08;0.06;0.06;0.08;0.09;0.07;0.08;0.04
1484C;N;25;25;24;25;25;25;25;25;25;26;26;26;24
1484C;Min;11.1;11.5;13.8;14.1;17.8;20.5;23.0;22.8;20.3;16.8;13.5;11.9;17.8
1484C;Q1;12.1;12.6;15.1;15.8;18.7;22.5;24.4;24.3;22.0;17.9;14.4;12.6;18.7
1484C;Q2;12.7;13.8;16.5;17.2;20.1;23.3;25.3;25.3;23.1;19.1;15.0;13.1;19.0
1484C;Q3;12.9;14.9;17.1;17.8;21.2;24.2;26.3;26.9;24.3;20.3;15.7;13.4;19.1
1484C;Q4;13.7;15.4;18.9;19.5;22.0;25.1;27.2;28.0;25.4;21.4;16.3;14.2;19.9
1484C;Max;14.4;17.6;22.4;22.1;23.4;26.0;29.2;28.3;26.1;23.5;18.5;15.6;20.6
1484C;Mn;12.8;14.3;16.8;17.6;20.6;23.7;26.0;25.6;23.7;19.4;15.3;13.3;19.1
1484C;Md;12.9;14.2;17.0;17.6;20.6;23.8;25.9;26.0;23.7;19.6;15.4;13.4;19.2
1484C;S;0.87;1.58;1.95;1.91;1.62;1.51;1.60;1.72;1.62;1.72;1.19;0.84;0.63
1484C;Cv;0.07;0.11;0.11;0.11;0.08;0.06;0.06;0.07;0.07;0.09;0.08;0.06;0.03
1495;N;29;30;29;30;29;29;28;30;30;29;27;28;26
1495;Min;9.9;10.7;13.0;12.9;14.7;19.2;21.7;21.8;19.0;15.9;13.1;10.7;17.0
1495;Q1;11.3;12.0;14.2;14.3;17.1;21.2;22.8;23.1;21.1;17.1;13.8;11.9;17.5
1495;Q2;11.6;12.6;15.1;16.4;17.9;21.9;24.1;23.8;22.3;18.2;14.4;12.2;17.8
1495;Q3;12.1;14.1;16.0;17.1;19.7;23.0;25.1;25.3;23.5;19.2;15.1;12.3;18.1
1495;Q4;12.7;14.6;17.1;18.2;20.8;24.0;25.9;26.1;24.6;20.6;16.2;13.0;18.5
1495;Max;13.2;16.6;21.7;20.9;22.5;25.1;27.7;27.6;26.7;22.3;18.1;14.6;19.2
1495;Mn;11.8;13.3;15.5;16.8;18.7;22.7;24.7;24.9;22.7;18.6;14.8;12.3;17.9
1495;Md;11.9;13.3;15.8;16.6;18.8;22.5;24.4;24.7;22.8;18.7;14.9;12.4;18.0
1495;S;0.86;1.55;1.88;2.03;2.01;1.57;1.72;1.69;1.79;1.64;1.23;0.80;0.57
1495;Cv;0.07;0.12;0.12;0.12;0.11;0.07;0.07;0.07;0.08;0.09;0.08;0.06;0.03
2867;N;30;30;30;30;30;30;30;30;30;30;30;30;30
2867;Min;5.9;8.1;10.1;11.3;13.1;21.2;27.8;25.8;20.5;14.1;10.6;6.7;17.0
2867;Q1;7.6;9.0;13.2;14.6;18.6;25.2;28.5;28.1;23.5;16.8;11.1;8.5;18.0
2867;Q2;8.1;10.4;14.5;16.2;19.9;26.4;29.9;29.2;24.6;18.7;12.3;9.3;18.5
2867;Q3;8.8;11.7;15.2;17.2;21.5;27.2;30.3;29.8;26.2;19.3;12.9;9.6;19.0
2867;Q4;10.1;13.0;16.4;18.1;22.9;28.4;31.4;30.8;26.6;20.6;14.6;10.1;19.3
2867;Max;12.0;15.1;20.4;20.6;24.4;30.2;32.6;32.1;29.3;22.5;16.9;12.1;20.3
2867;Mn;8.4;11.0;14.9;16.9;21.0;26.8;30.1;29.6;25.2;19.1;12.8;9.5;18.7
2867;Md;8.6;11.2;14.9;16.5;20.6;26.6;30.0;29.5;25.1;18.9;12.8;9.4;18.7
2867;S;1.50;2.11;2.03;2.14;2.48;2.24;1.36;1.51;1.98;2.10;1.63;1.13;0.73
2867;Cv;0.17;0.19;0.14;0.13;0.12;0.08;0.05;0.05;0.08;0.11;0.13;0.12;0.04
2870;N;20;16;15;19;22;19;20;20;22;23;19;18;5
2870;Min;4.8;8.6;11.8;12.4;15.9;19.3;27.1;26.3;21.5;13.1;10.6;8.0;
2870;Q1;7.1;9.9;13.8;14.5;18.7;25.2;29.0;29.1;23.6;16.9;11.6;8.4;
2870;Q2;8.9;10.9;15.2;16.8;20.1;26.7;29.7;29.4;25.4;19.1;12.8;9.0;
2870;Q3;9.7;12.5;15.8;17.7;21.1;27.4;30.3;30.2;26.5;19.6;13.4;9.6;
2870;Q4;10.6;13.6;16.5;18.8;21.9;29.4;31.4;31.5;27.3;21.2;14.7;10.6;
2870;Max;11.8;15.0;18.9;19.6;24.7;30.6;33.5;33.0;28.5;22.6;18.1;12.0;
2870;Mn;9.2;11.9;15.4;17.3;20.6;26.9;29.9;29.8;26.1;19.4;13.0;9.5;
2870;Md;8.9;11.7;15.4;16.6;20.4;26.8;30.2;30.1;25.5;18.9;13.2;9.6;
2870;S;1.94;1.92;1.70;2.16;2.19;2.97;1.52;1.64;1.94;2.45;1.86;1.24;
2870;Cv;0.22;0.16;0.11;0.13;0.11;0.11;0.05;0.05;0.08;0.13;0.14;0.13;
C929I;N;30;30;29;29;30;30;29;29;29;29;30;30;27
C929I;Min;19.6;19.2;19.6;20.5;21.1;22.7;23.2;24.7;25.2;24.3;21.9;20.3;22.6
C929I;Q1;20.3;20.1;20.6;20.9;22.0;23.0;24.4;25.3;25.8;24.8;23.1;21.5;22.9
C929I;Q2;20.7;20.5;20.9;21.3;22.5;23.9;24.9;25.9;26.2;25.3;23.7;21.8;23.1
C929I;Q3;21.2;20.9;21.4;21.9;22.8;24.3;25.1;26.2;26.5;25.9;24.0;22.5;23.6
C929I;Q4;21.6;21.3;22.2;22.3;23.2;25.0;25.7;26.6;27.3;26.5;24.4;22.9;23.8
C929I;Max;22.4;23.0;23.1;22.8;23.8;25.3;26.6;28.2;28.4;27.1;25.3;23.7;24.2
C929I;Mn;20.9;20.7;21.1;21.5;22.6;24.2;25.0;26.0;26.3;25.7;23.8;22.3;23.3
C929I;Md;20.9;20.8;21.4;21.6;22.6;24.0;25.0;26.1;26.5;25.6;23.7;22.2;23.3
C929I;S;0.74;0.87;0.96;0.69;0.70;0.82;0.86;0.85;0.82;0.84;0.75;0.86;0.48
C929I;Cv;0.04;0.04;0.05;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.04;0.02
C430E;N;22;27;24;25;26;26;29;29;28;25;23;22;16
C430E;Min;4.1;1.3;7.2;8.3;11.2;15.9;20.7;19.3;16.8;11.1;8.6;5.7;13.0
C430E;Q1;5.7;6.2;8.2;9.8;12.6;18.1;21.9;21.3;17.4;12.8;9.9;7.6;13.4
C430E;Q2;7.0;7.4;10.3;11.7;14.2;18.4;22.6;22.0;18.8;13.8;11.1;8.6;13.9
C430E;Q3;8.1;8.5;11.1;12.8;14.6;19.3;23.2;22.8;19.0;15.0;11.5;9.6;14.3
C430E;Q4;9.5;11.0;11.9;13.7;16.2;19.9;24.1;24.0;19.7;15.9;11.7;10.3;14.5
C430E;Max;11.1;12.2;13.5;15.4;18.2;22.0;24.8;25.3;20.7;16.3;13.5;11.9;15.3
C430E;Mn;7.7;7.6;10.7;12.2;14.4;18.7;23.0;22.4;18.9;14.0;11.4;9.0;14.1
C430E;Md;7.6;8.2;10.3;12.0;14.5;18.9;22.9;22.5;18.7;14.3;11.0;8.9;14.1
C430E;S;2.03;2.51;1.83;1.98;1.87;1.34;1.12;1.37;1.08;1.41;1.21;1.56;0.66
C430E;Cv;0.27;0.31;0.18;0.17;0.13;0.07;0.05;0.06;0.06;0.10;0.11;0.18;0.05
C139E;N;30;29;28;28;29;30;28;30;28;28;28;29;25
C139E;Min;18.7;19.0;19.4;20.2;21.3;22.8;24.0;24.7;25.0;23.5;21.0;19.8;22.0
C139E;Q1;20.0;19.6;20.3;20.7;21.6;23.2;24.6;25.4;25.6;24.7;22.8;20.9;22.6
C139E;Q2;20.2;20.0;20.6;21.3;22.5;23.9;25.0;25.9;26.4;25.1;23.2;21.6;22.9
