Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
5514;-5.4(12);-3.2(03);-0.4(08);2.5(12);7.3(18);8.4(06);12.4(09);15.1(28);10.3(30);3.4(16);-2.3(17);-1.0(30);-5.4(12/ene)
3013;-11.3(11);-9.1(17);-7.2(21);-4.8(13);-2.0(06);-0.6(12);7.5(28);6.2(14);2.4(06);0.7(27);-5.6(19);-8.5(28);-11.3(11/ene)
4642E;0.4(07);2.1(04);5.5(22);7.3(04);11.8(06);11.5(17);15.3(05);16.7(12);14.2(23);7.8(22);4.6(19);4.2(11);0.4(07/ene)
9898;-5.8(03);-2.0(04);1.0(21);-0.5(04);1.5(06);6.2(12);11.8(31);11.4(14);8.8(07);6.4(21);-2.3(19);-2.8(29);-5.8(03/ene)
5270B;-1.4(11);-0.3(04);4.5(20);5.7(05);10.7(04);11.1(15);15.9(09);18.8(12);13.7(11);8.1(21);1.6(16);3.7(31);-1.4(11/ene)
9170;-2.5(16);-2.3(16);-1.3(22);2.1(06);1.9(06);2.7(12);11.8(31);10.9(23);8.0(09);5.6(22);0.2(20);-1.8(29);-2.5(16/ene)
C249I;12.7(10);12.2(05);13.4(27);14.7(01);;16.5(17);;20.3(20);;17.8(24);15.6(20);12.7(15);
C649I;13.2(13);13.8(21);13.1(26);;15.9(30);16.8(17);;20.6(01);;17.3(22);;;
C029O;11.5(10);10.8(09);12.0(16);13.3(24);;15.0(17);18.5(05);20.0(01);18.9(18);14.9(25);13.7(20);12.5(15);
2661;-5.3(11);-5.1(04);-3.2(18);-3.2(04);1.0(19);1.2(06);7.2(30);6.7(12);4.0(07);1.1(21);-2.7(19);-5.1(27);-5.3(11/ene)
1549;-5.9(07);-2.2(04);-1.4(18);1.1(11);4.6(02);5.6(12);10.0(28);9.2(13);7.4(29);4.2(22);-0.9(19);-3.6(29);-5.9(07/ene)
9771C;-4.8(11);-2.3(17);1.2(22);2.3(04);2.2(06);6.9(12);15.2(28);14.2(14);9.8(07);6.8(26);-1.6(19);0.4(03);-4.8(11/ene)
1505;-7.2(06);-2.8(20);-1.5(18);1.2(03);1.5(20);3.3(08);5.6(31);6.4(13);6.0(28);0.4(22);0.6(19);-4.5(04);-7.2(06/ene)
3191E;-2.5(11);-2.0(04);0.5(18);-0.6(04);3.1(04);6.5(07);11.5(28);11.5(13);8.5(06);3.7(21);-0.2(16);-0.5(09);-2.5(11/ene)
3129;-5.7(06);-4.5(04);-0.3(22);0.8(04);4.2(04);5.6(12);14.6(28);14.0(12);9.7(29);3.6(21);-2.4(19);-2.3(29);-5.7(06/ene)
3196;-3.4(11);-2.8(04);1.6(07);1.0(04);6.4(04);9.2(07);16.0(09);14.5(26);11.9(23);5.0(21);0.4(19);1.5(30);-3.4(11/ene)
3200;-3.0(11);-2.2(04);1.6(07);3.0(04);7.2(04);10.2(12);16.2(28);15.0(13);12.6(23);5.4(21);0.4(19);0.0(28);-3.0(11/ene)
3195;-1.8(11);-1.4(04);3.2(07);2.5(04);7.2(04);9.0(07);16.2(28);15.0(27);12.0(23);6.3(21);0.7(19);2.3(31);-1.8(11/ene)
3175;-5.9(06);-4.4(04);-1.1(22);0.9(13);3.3(04);5.2(12);13.8(28);13.4(14);10.2(29);3.1(21);-2.7(19);-2.8(28);-5.9(06/ene)
2462;-10.3(11);-8.9(03);-5.7(20);-7.4(04);-2.8(18);-1.0(07);4.5(30);4.6(12);1.5(10);-1.1(21);-6.2(16);-3.1(23);-10.3(11/ene)
6155A;1.9(13);;6.6(09);9.4(02);12.9(02);14.7(04);19.8(18);20.4(30);16.1(24);10.3(23);6.6(17);5.7(31);
6000A;6.1(06);6.4(05);9.1(10);10.3(24);13.9(15);16.7(04);19.6(10);20.0(28);16.8(12);12.6(25);7.0(16);9.0(26);6.1(06/ene)
7178I;-1.4(12);3.0(05);4.9(01);6.1(06);11.3(04);14.4(01);20.4(09);19.4(24);15.8(12);9.6(23);3.1(17);4.2(11);-1.4(12/ene)
7228;-3.5(12);0.9(26);1.3(28);5.2(07);10.5(20);11.2(06);18.3(10);18.0(24);15.0(12);8.2(21);1.3(17);1.8(31);-3.5(12/ene)
7031;-0.7(12);1.9(26);4.0(01);6.0(05);10.5(04);12.5(02);19.0(09);19.5(28);16.0(11);10.0(24);5.5(20);4.5(11);-0.7(12/ene)
9262;-0.6(11);-1.3(04);0.4(21);1.3(04);2.8(06);5.2(12);11.3(29);10.6(14);7.5(09);5.3(22);-0.9(16);;
9263D;-3.1(04);-3.0(16);-2.1(21);-0.6(13);-0.1(06);3.2(12);;9.1(16);5.9(09);4.0(22);-1.1(20);-2.6(29);
1690A;-5.3(06);-1.0(04);0.0(18);0.1(04);4.6(19);4.8(08);10.1(30);9.3(13);8.6(08);5.2(22);2.6(16);-1.2(29);-5.3(06/ene)
1484C;1.1(02);1.2(03);3.9(13);3.5(04);5.8(19);7.3(08);11.1(30);10.8(13);10.1(28);6.1(22);3.3(16);1.8(04);1.1(02/ene)
1495;0.4(12);1.0(03);2.7(15);;5.5(19);7.7(12);11.3(31);10.9(13);9.8(28);6.0(22);2.7(16);-2.0(04);
2867;-8.4(05);-5.8(04);-3.7(01);-4.8(04);1.5(18);3.4(06);7.5(30);7.0(12);5.1(27);-0.5(21);-3.7(16);-5.7(31);-8.4(05/ene)
2870;-5.4(07);-3.0(04);0.0(01);-0.6(04);4.4(18);;;11.3(13);9.0(07);2.6(21);-0.7(16);-2.5(31);
C929I;15.4(15);14.6(22);14.3(25);13.4(02);18.1(05);17.4(16);20.7(11);21.5(01);21.2(21);18.5(25);18.1(21);;
C430E;-2.9(22);-2.2(15);-2.3(30);-4.2(06);3.4(02);5.7(13);5.2(11);8.3(05);8.4(09);0.0(21);-1.4(15);-1.4(05);-4.2(06/abr)
C139E;13.8(22);14.0(10);13.5(30);;;16.9(16);19.0(25);21.0(01);19.3(10);17.0(25);;15.3(17);
C449C;13.8(10);13.7(10);14.5(15);15.0(07);16.0(06);17.3(16);20.2(05);20.4(01);20.6(18);18.2(23);17.0(17);15.4(31);13.7(10/feb)
