Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
3013;16.4(15);21.8(27);23.4(15);23.9(17);28.6(31);37.8(29);35.4(12);33.2(17);30.5(04);28.4(08);18.5(01);16.2(25);37.8(29/jun)
4642E;21.5(26);23.9(23);28.3(11);28.9(28);34.3(11);33.6(01);37.0(20);37.2(17);34.6(03);32.7(07);26.0(01);24.0(26);37.2(17/ago)
9898;15.9(14);22.3(27);23.2(16);22.8(14);30.0(15);41.2(29);38.9(23);37.7(09);29.7(17);28.0(01);20.3(01);14.1(24);41.2(29/jun)
5270B;16.8(14);21.6(26);24.6(16);27.4(30);32.9(31);39.2(29);40.6(22);38.5(17);35.5(02);30.7(07);22.5(01);19.7(16);40.6(22/jul)
9170;15.9(01);23.1(27);24.0(24);24.9(29);30.5(31);42.2(29);38.9(23);36.6(17);30.7(17);28.8(13);21.9(01);17.6(22);42.2(29/jun)
C249I;21.9(20);27.0(26);24.3(31);26.5(29);;29.7(02);;31.5(17);;30.5(26);27.9(02);23.9(21);
C649I;22.5(01);27.2(23);23.8(06);;29.2(27);31.6(03);;31.7(16);;30.6(27);;;
C029O;21.6(20);25.2(11);26.3(10);26.2(28);;35.1(02);29.6(26);35.8(16);32.8(30);33.7(01);32.3(02);24.4(27);
2661;15.5(05);20.9(25);20.7(16);22.8(29);29.6(31);35.7(28);34.5(22);31.9(03);29.3(13);26.9(07);18.4(01);18.1(30);35.7(28/jun)
1549;15.4(24);22.9(25);24.2(24);27.0(29);33.9(31);34.8(28);37.6(22);35.0(30);34.0(13);29.5(07);20.8(01);14.9(19);37.6(22/jul)
9771C;18.2(25);22.2(27);24.3(10);26.0(14);30.7(31);43.4(29);41.2(23);39.7(09);32.7(17);29.7(01);23.6(02);18.4(17);43.4(29/jun)
1505;12.8(14);24.0(26);23.2(16);25.7(29);33.3(31);31.9(01);33.0(24);34.8(23);29.6(20);26.6(11);18.5(01);18.2(24);34.8(23/ago)
3191E;16.0(07);18.0(27);21.5(16);23.0(30);30.0(15);37.0(28);36.6(12);34.1(17);31.5(03);26.7(08);18.0(01);17.4(28);37.0(28/jun)
3129;16.3(24);21.3(26);25.3(16);27.1(30);33.9(15);41.2(28);40.3(12);37.6(17);34.4(04);30.1(08);21.6(01);17.6(26);41.2(28/jun)
3196;16.9(25);20.6(26);24.9(16);29.5(28);32.6(15);40.5(28);39.2(12);36.6(17);34.5(01);29.6(08);20.1(01);16.8(25);40.5(28/jun)
3200;17.0(24);21.0(26);25.0(16);26.8(30);34.0(15);41.0(28);39.4(12);37.4(17);34.2(01);30.0(08);20.4(01);17.4(21);41.0(28/jun)
3195;15.2(25);19.8(26);23.9(16);26.0(30);33.5(15);40.7(28);38.8(12);37.2(17);32.7(04);28.0(08);19.3(01);16.0(21);40.7(28/jun)
3175;17.8(07);22.0(26);25.7(16);26.9(30);33.0(15);41.9(28);39.9(12);38.0(17);34.7(01);29.9(08);21.7(01);17.2(25);41.9(28/jun)
2462;12.7(15);13.8(24);15.5(15);17.0(30);23.5(31);32.0(29);31.3(12);28.5(17);23.2(04);22.4(08);10.6(01);16.2(28);32.0(29/jun)
6155A;23.5(25);;27.8(17);27.2(15);32.7(24);34.5(19);39.1(15);40.6(07);35.6(25);35.2(01);27.6(01);23.9(23);
6000A;21.2(14);22.7(01);24.9(17);28.0(15);31.7(28);31.4(30);33.7(30);34.9(08);31.1(25);32.1(01);24.4(01);23.7(21);34.9(08/ago)
7178I;22.8(31);28.3(28);28.9(17);29.5(14);34.0(15);37.8(29);40.5(15);42.6(09);36.0(01);34.8(01);28.7(01);24.9(26);42.6(09/ago)
7228;23.0(31);27.7(28);28.9(17);29.2(14);34.5(15);38.0(29);41.2(07);42.8(09);36.5(01);34.8(01);28.7(01);24.8(26);42.8(09/ago)
7031;22.5(31);23.2(07);27.0(17);26.8(14);28.0(08);31.5(29);36.5(14);34.8(09);32.5(01);30.5(03);29.0(01);25.5(26);36.5(14/jul)
9262;14.7(03);23.1(27);22.3(16);22.9(22);29.0(31);39.8(29);37.6(25);35.1(09);31.5(14);28.6(08);19.0(01);;
9263D;13.2(05);22.6(27);22.7(23);23.7(15);29.2(31);41.3(29);;36.9(09);31.5(17);28.7(08);19.7(04);16.7(28);
1690A;16.5(25);25.5(25);26.7(26);28.8(29);36.6(31);34.9(01);37.6(22);38.1(23);35.5(03);29.8(07);22.0(01);17.8(24);38.1(23/ago)
1484C;16.2(09);23.5(26);25.8(26);27.0(20);33.9(31);29.4(01);33.5(12);32.4(22);33.8(13);23.9(10);18.5(01);19.8(25);33.9(31/may)
1495;15.3(01);23.3(26);25.0(24);;33.1(31);30.7(01);35.0(12);32.3(22);34.1(13);23.3(07);18.1(01);20.0(29);
2867;15.5(24);22.7(26);23.1(16);24.9(30);31.7(31);39.4(28);38.1(12);34.8(24);31.5(04);29.7(08);19.9(01);15.8(24);39.4(28/jun)
2870;16.5(26);22.2(26);23.4(16);26.0(30);32.5(31);;;34.9(30);32.2(04);29.2(07);19.7(01);16.9(24);
C929I;23.6(01);26.6(12);23.4(26);22.9(15);24.7(16);27.4(23);26.1(14);27.6(10);27.1(22);29.2(27);25.1(01);;
C430E;13.7(28);14.7(25);15.4(22);18.0(16);20.2(09);21.6(01);26.8(26);27.9(22);24.2(15);24.6(01);16.8(25);14.9(21);27.9(22/ago)
