Indicativo;parámetro;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
9771C;S;2.34;1.92;1.79;1.47;2.03;1.55;0.98;1.03;1.50;1.81;1.67;2.17;1.01
9771C;Cv;0.33;0.23;0.18;0.12;0.13;0.08;0.05;0.05;0.08;0.12;0.15;0.27;0.05
1505;N;24;23;23;24;25;24;25;26;26;26;25;25;20
1505;Min;3.0;4.6;6.0;7.4;9.2;12.0;14.4;14.2;12.9;10.8;7.1;8.4;15.8
1505;Q1;7.6;6.6;8.0;8.8;11.4;13.8;16.0;15.3;13.9;12.1;10.8;9.4;16.4
1505;Q2;9.3;8.0;8.7;9.7;12.2;14.4;16.3;16.2;14.9;12.8;11.4;10.6;16.8
1505;Q3;10.0;9.1;9.8;10.6;12.6;15.0;16.8;16.8;15.6;13.8;12.1;11.5;17.2
1505;Q4;11.2;10.0;11.5;11.4;13.9;16.0;17.4;17.1;16.5;14.7;13.3;12.0;17.7
1505;Max;11.9;12.4;12.4;13.0;14.8;16.6;19.0;17.8;17.0;17.8;16.0;16.0;19.0
1505;Mn;9.7;8.4;9.4;10.2;12.4;14.6;16.6;16.5;15.2;13.2;11.9;11.0;17.0
1505;Md;9.3;8.5;9.5;10.1;12.5;14.8;16.6;16.3;15.2;13.6;12.0;11.1;17.0
1505;S;2.10;1.99;1.89;1.48;1.28;1.05;0.99;0.96;1.20;1.91;1.94;1.72;0.73
1505;Cv;0.23;0.24;0.20;0.15;0.10;0.07;0.06;0.06;0.08;0.14;0.16;0.16;0.04
3191E;N;25;26;26;26;25;25;25;26;25;25;25;20;17
3191E;Min;3.0;4.4;6.5;7.6;12.7;15.8;20.7;19.8;16.2;11.8;7.7;5.6;21.3
3191E;Q1;5.5;5.5;9.0;10.4;14.1;19.3;21.6;21.4;17.5;13.0;9.0;6.3;22.3
3191E;Q2;6.1;6.5;10.0;11.6;15.7;20.0;22.8;22.2;18.4;13.8;9.8;7.0;23.0
3191E;Q3;6.9;7.6;11.0;13.3;16.5;20.5;23.3;22.7;19.7;14.8;10.8;8.0;23.5
3191E;Q4;8.0;8.3;12.2;14.1;17.5;21.3;23.8;23.6;20.5;16.9;11.8;9.4;23.8
3191E;Max;10.3;10.6;13.5;15.0;19.0;23.0;25.0;28.0;25.0;18.5;13.7;11.0;25.6
3191E;Mn;6.6;7.1;10.3;12.4;16.0;20.3;23.0;22.4;19.5;14.0;10.2;7.4;23.2
3191E;Md;6.7;7.1;10.5;12.2;15.9;20.2;22.8;22.7;19.4;14.6;10.3;7.8;23.2
3191E;S;1.61;1.52;1.77;2.08;1.67;1.52;1.13;1.75;2.10;1.89;1.62;1.63;1.06
3191E;Cv;0.24;0.21;0.17;0.17;0.11;0.07;0.05;0.08;0.11;0.13;0.16;0.21;0.05
3129;N;30;30;30;29;30;30;30;30;30;28;30;28;28
3129;Min;0.0;3.3;7.0;7.0;10.4;16.2;19.7;17.4;14.2;12.0;5.2;3.2;19.8
3129;Q1;5.0;6.7;8.5;9.5;13.1;17.8;20.4;19.9;16.8;13.0;9.2;6.2;20.9
3129;Q2;6.4;7.5;9.1;11.0;14.0;18.7;21.0;21.0;18.0;14.0;10.4;7.5;21.9
3129;Q3;8.0;8.3;9.8;11.6;15.2;19.4;21.6;21.9;18.7;15.1;11.9;9.3;22.5
3129;Q4;8.6;9.0;10.2;12.2;16.7;20.2;22.6;22.8;20.1;15.4;12.6;11.0;23.2
3129;Max;11.5;11.6;12.5;13.8;17.9;22.4;24.8;24.0;22.8;16.4;16.4;12.4;24.2
3129;Mn;7.8;7.7;9.5;11.0;14.8;19.1;21.5;21.5;18.2;14.6;10.7;8.9;22.3
3129;Md;6.9;7.7;9.5;10.9;14.7;19.1;21.5;21.3;18.3;14.4;11.0;8.5;22.2
3129;S;2.45;1.80;1.35;1.53;1.78;1.47;1.27;1.75;1.75;1.28;2.28;2.46;1.19
3129;Cv;0.36;0.23;0.14;0.14;0.12;0.08;0.06;0.08;0.10;0.09;0.21;0.29;0.05
3196;N;30;30;29;30;30;30;30;30;30;30;30;29;28
3196;Min;2.8;3.4;7.2;8.0;10.0;17.2;21.0;19.8;16.0;10.8;7.4;4.4;21.4
3196;Q1;5.1;6.3;8.4;10.8;14.5;19.4;22.0;21.1;17.7;13.2;9.6;6.6;22.8
3196;Q2;6.7;7.4;9.6;11.8;16.0;20.3;22.9;22.0;18.9;14.3;10.1;7.6;23.4
3196;Q3;7.5;8.3;10.4;12.6;16.7;21.4;23.4;23.3;20.0;14.7;11.2;9.2;23.8
3196;Q4;8.5;8.9;11.0;13.0;18.0;22.2;24.2;24.0;21.0;15.8;12.4;9.8;24.2
3196;Max;9.0;10.0;12.6;16.2;20.6;23.2;25.5;25.4;22.2;19.0;15.4;12.0;25.4
3196;Mn;7.2;7.8;9.8;12.2;16.1;21.0;23.0;23.0;19.6;14.4;11.0;8.4;23.5
3196;Md;6.7;7.6;10.0;12.0;16.1;20.7;23.0;22.6;19.4;14.6;10.9;8.4;23.5
3196;S;1.78;1.56;1.36;1.70;2.29;1.56;1.05;1.52;1.65;1.84;1.73;1.82;0.91
3196;Cv;0.27;0.21;0.14;0.14;0.14;0.08;0.05;0.07;0.09;0.13;0.16;0.22;0.04
3200;N;30;30;30;30;30;30;30;30;30;30;30;30;30
3200;Min;2.0;4.2;7.2;7.2;11.0;16.6;20.8;18.0;15.4;11.2;6.4;4.0;21.4
3200;Q1;5.2;6.7;8.8;10.4;13.8;19.0;22.2;21.6;18.2;13.7;9.3;7.0;23.0
3200;Q2;6.8;7.5;9.5;11.7;15.2;20.2;23.0;22.7;19.1;14.8;10.9;8.0;23.5
3200;Q3;8.0;8.1;9.8;12.1;17.2;21.1;23.4;23.6;19.8;15.2;11.5;9.2;23.7
