Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;16;7;9;16;10;12;5;6;9;20;29;18;157
1387E;23;8;8;17;8;15;7;8;13;18;29;19;173
1428;15;11;12;17;10;14;9;6;14;22;30;20;180
8175;3;1;4;16;3;1;2;2;7;5;12;9;65
8178D;7;1;3;14;6;1;3;2;9;6;12;9;73
8025;3;1;4;9;2;1;1;4;7;4;7;4;47
8019;4;1;3;10;4;1;1;4;8;5;8;6;55
6325O;1;1;4;8;1;1;0;0;3;2;3;6;30
9091O;20;7;8;15;14;7;12;6;8;11;26;14;148
1212E;17;8;12;17;9;16;11;15;12;18;29;17;181
1208H;18;7;12;16;10;13;12;17;12;19;29;16;181
1249I;18;7;9;17;9;17;14;17;9;18;27;16;178
2444;7;2;3;14;2;1;2;6;9;11;17;7;81
4452;3;2;4;15;2;1;0;0;2;9;19;10;67
B954;9;4;4;10;4;0;0;4;10;6;10;7;68
B893;13;;4;12;4;2;4;1;3;9;17;12;
B228;9;2;4;11;3;0;1;2;6;6;16;5;65
B278;7;2;4;8;2;0;2;2;6;6;16;4;59
0200E;4;2;1;12;11;2;7;5;9;7;6;7;73
0076;4;1;1;13;10;2;7;4;10;7;9;6;74
1082;23;9;10;16;16;8;15;9;16;17;26;13;178
2331;11;2;5;17;10;5;8;4;7;10;24;9;112
3469A;3;2;4;13;3;1;0;1;4;9;20;10;70
5973;5;2;3;11;0;1;0;0;2;5;14;9;52
5960;8;4;8;13;0;1;1;0;6;5;16;10;72
5910;5;1;5;11;0;0;0;0;2;3;14;7;48
6001;9;4;;;;;;1;2;4;19;;
1111;21;9;11;14;15;10;12;11;13;17;25;14;172
1109;21;7;11;14;13;12;10;11;11;18;25;15;168
8500A;1;0;3;9;6;0;3;4;6;4;2;3;41
5000C;8;2;4;11;0;0;1;0;3;5;13;12;59
4121;4;2;2;19;2;0;1;1;10;4;16;12;73
5402;3;1;5;15;0;0;0;1;4;3;16;9;57
8096;4;1;3;18;2;2;2;3;10;5;22;6;78
1014;21;8;12;17;19;13;13;12;14;17;26;14;186
1024E;22;8;13;17;16;11;14;14;13;19;26;14;187
0367;5;3;4;12;13;3;6;4;11;9;8;7;85
5530E;5;1;4;12;1;0;0;0;9;3;14;8;57
5514;7;1;4;13;1;0;0;0;6;5;13;7;57
3013;7;2;2;15;10;6;4;5;6;4;21;9;91
4642E;4;2;4;12;0;0;0;0;2;3;13;;
9898;7;1;2;12;7;6;5;3;9;5;20;10;87
5270B;4;1;3;15;1;0;2;;;3;12;8;
9170;11;5;3;14;9;6;11;4;8;7;24;9;111
C249I;2;2;3;1;0;0;0;0;1;2;5;5;21
C649I;6;3;6;5;0;2;0;1;2;6;8;5;44
C029O;5;1;4;2;1;1;1;0;1;2;4;5;27
2661;5;5;4;15;3;5;9;4;6;11;22;18;107
1549;7;6;5;14;3;9;7;4;5;14;28;14;116
9771C;8;1;1;12;7;5;4;3;2;7;10;11;71
1505;16;8;12;16;7;12;7;10;11;21;30;18;168
3191E;5;2;3;15;3;1;4;4;7;9;20;13;86
3129;4;1;2;12;0;1;5;4;5;9;14;12;69
3196;4;1;2;15;1;1;6;3;6;9;17;10;75
3200;3;1;2;15;1;1;4;3;5;9;16;11;71
3195;4;1;2;14;1;1;3;6;5;10;17;12;76
3175;4;1;2;11;0;1;4;2;6;9;14;12;66
2462;9;2;6;17;6;4;7;6;9;11;27;15;119
6155A;3;1;5;11;0;0;0;0;2;2;5;6;35
6000A;4;2;6;8;0;1;0;1;4;2;7;6;41
7178I;2;0;5;9;3;1;0;3;6;5;6;3;43
7228;2;0;3;7;3;2;0;4;6;4;7;4;42
7031;4;0;6;5;0;1;1;3;5;4;6;4;39
9262;13;5;7;11;11;7;8;4;;;25;;
9263D;16;6;7;16;12;5;13;6;9;12;25;9;136
1690A;9;7;6;15;6;10;4;6;9;17;28;16;133
1484C;13;10;13;18;8;13;7;5;12;18;29;17;163
1495;15;9;10;17;7;13;7;8;15;17;30;17;165
2867;7;2;4;15;4;4;3;5;5;12;19;11;91
2870;7;2;3;14;2;;;5;7;12;20;11;
C929I;5;5;7;6;0;4;0;0;2;5;6;5;45
C430E;4;3;7;5;0;0;0;1;1;4;4;5;34
C139E;12;6;8;4;0;4;3;0;5;8;13;9;72
C449C;7;4;8;5;0;0;0;0;1;5;6;8;44
C447A;13;5;13;14;7;9;8;2;1;8;18;12;110
C429I;1;1;2;2;0;0;0;0;3;4;1;0;14
2465;7;2;3;16;2;4;5;5;6;12;25;9;96
5796;4;1;5;12;0;1;0;0;7;4;14;8;56
5783;5;2;2;12;0;0;0;0;3;2;13;7;46
2030;6;4;4;17;7;8;12;6;6;7;24;8;109
0016A;3;1;3;10;8;3;6;4;7;6;6;6;63
9981A;4;2;2;10;5;1;6;6;8;4;7;7;62
9381I;7;2;3;17;;1;7;4;9;5;17;8;
8368U;6;2;2;16;6;3;3;3;8;4;10;8;71
3260B;3;1;2;;2;0;5;1;;3;14;10;
8416;1;0;4;13;10;0;4;4;6;5;5;4;56
8414A;1;0;4;13;8;0;4;4;8;6;5;5;58
2422;5;3;3;13;2;3;4;4;6;10;22;10;85
2539;5;2;4;11;4;3;3;2;6;10;21;10;81
2614;4;3;4;13;3;4;4;4;5;10;19;12;85
9390;7;3;4;15;9;6;7;4;7;5;15;9;91
9434;7;3;2;13;6;6;8;2;3;6;17;10;83
