Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;15;4;6;14;5;7;3;4;6;17;26;16;123
1387E;15;6;7;14;5;11;3;4;4;16;26;13;124
1428;13;6;8;14;8;12;5;5;8;16;28;16;139
8175;3;1;2;13;2;1;2;2;5;5;9;6;51
8178D;3;1;3;12;3;1;1;2;4;5;9;4;48
8025;2;0;2;8;0;0;0;3;4;3;3;4;29
8019;1;1;2;8;0;0;0;3;7;3;3;4;32
6325O;0;1;3;6;0;0;0;0;2;2;2;4;20
9091O;12;4;8;8;8;4;7;2;6;7;22;10;98
1212E;13;7;8;13;6;13;9;8;6;14;26;13;136
1208H;14;5;10;14;6;9;8;9;7;16;26;13;137
1249I;15;5;7;12;6;11;10;8;7;15;23;14;133
2444;5;1;3;9;1;1;1;4;5;8;12;5;55
4452;2;1;4;13;1;0;0;0;1;4;11;6;43
B954;4;1;3;6;2;0;0;2;5;4;3;4;34
B893;9;;2;7;1;0;1;1;3;7;15;3;
B228;6;2;4;4;2;0;1;1;6;5;14;4;49
B278;4;2;3;5;2;0;2;1;6;6;14;4;49
0200E;3;1;0;7;8;2;6;3;6;5;4;5;50
0076;3;0;0;7;7;2;4;3;7;4;4;4;45
1082;18;6;8;12;14;6;7;5;10;14;24;12;136
2331;6;2;2;13;7;4;7;2;6;6;20;6;81
3469A;3;2;3;11;3;1;0;0;2;6;12;8;51
5973;4;0;2;9;0;0;0;0;1;3;9;5;33
5960;4;0;4;8;0;1;0;0;3;4;9;5;38
5910;4;0;3;11;0;0;0;0;1;2;10;4;35
6001;6;2;;;;;;0;1;4;14;;
1111;18;7;8;10;10;7;9;7;5;12;25;12;130
1109;17;5;9;10;10;9;9;8;5;15;25;13;135
8500A;0;0;1;6;2;0;3;4;5;2;1;3;27
5000C;6;2;2;10;0;0;0;0;1;3;11;10;45
4121;3;1;1;16;1;0;1;0;9;2;11;6;51
5402;3;0;3;11;0;0;0;1;3;2;9;6;38
8096;4;1;3;15;1;1;1;2;7;4;15;5;59
1014;18;7;10;11;16;9;8;9;8;16;23;11;146
1024E;20;7;9;14;15;9;10;9;11;15;24;12;155
0367;4;0;2;6;9;2;4;3;9;6;5;5;55
5530E;5;1;4;10;1;0;0;0;6;3;8;6;44
5514;5;1;3;9;0;0;0;0;4;3;8;5;38
3013;5;1;2;13;5;4;3;3;3;3;11;7;60
4642E;4;1;1;11;0;0;0;0;2;2;5;;
9898;5;0;2;6;5;3;2;2;6;4;11;6;52
5270B;4;1;3;12;0;0;1;;;3;9;5;
9170;9;3;2;8;3;5;5;2;4;5;20;5;71
C249I;1;0;2;1;0;0;0;0;0;1;0;3;8
C649I;2;3;4;1;0;0;0;0;1;1;1;4;17
C029O;1;1;1;1;0;0;0;0;0;1;1;3;9
2661;3;3;3;10;2;4;6;2;3;7;16;10;69
1549;5;6;4;13;2;7;5;4;2;10;28;11;97
9771C;4;1;0;6;5;2;1;3;2;6;5;6;41
1505;15;6;6;14;4;6;5;7;5;15;28;14;125
3191E;5;1;2;14;0;1;1;3;6;6;14;7;60
3129;3;0;1;9;0;1;3;2;5;7;10;5;46
3196;3;0;1;10;0;0;3;3;4;6;9;8;47
3200;3;1;1;11;1;1;1;2;4;6;10;6;47
3195;3;1;2;10;0;1;2;4;5;6;12;9;55
3175;3;0;2;10;0;1;1;2;5;6;8;6;44
2462;8;2;5;16;3;2;3;5;8;10;24;13;99
6155A;1;1;3;8;0;0;0;0;1;1;4;4;23
6000A;2;2;6;5;0;1;0;1;2;2;5;4;30
7178I;0;0;2;7;2;1;0;3;4;3;4;2;28
7228;0;0;2;6;2;1;0;3;3;3;3;3;26
7031;1;0;3;4;0;1;0;2;4;3;2;3;23
9262;9;5;7;8;7;5;8;3;;;24;;
9263D;11;4;6;8;6;4;10;4;6;7;23;9;98
1690A;6;5;5;12;1;7;2;5;6;12;26;14;101
1484C;9;5;9;15;3;12;6;3;8;16;25;16;127
1495;10;5;6;15;4;7;5;3;5;15;26;17;118
2867;3;1;1;11;1;1;2;3;4;8;14;6;55
2870;2;1;1;11;1;;;3;5;8;16;7;
C929I;1;2;5;3;0;0;0;0;2;1;1;3;18
C430E;2;2;5;2;0;0;0;0;1;3;2;4;21
C139E;6;3;2;2;0;2;0;0;2;3;10;6;36
C449C;3;3;3;2;0;0;0;0;0;2;3;4;20
C447A;7;5;7;5;0;2;1;0;1;3;10;8;49
C429I;0;0;1;2;0;0;0;0;1;1;0;0;5
2465;6;1;2;12;1;2;3;4;3;10;17;9;70
5796;4;1;3;10;0;0;0;0;6;3;8;5;40
5783;4;0;1;12;0;0;0;0;1;2;7;6;33
2030;5;2;2;12;4;5;8;3;4;7;19;6;77
0016A;1;1;0;5;4;1;3;3;4;3;4;5;34
9981A;1;1;1;5;3;1;2;5;4;3;4;4;34
9381I;6;1;2;13;;0;6;4;3;2;10;6;
8368U;1;1;1;8;3;1;3;3;6;3;6;5;41
3260B;3;1;1;;0;0;2;1;;2;9;6;
8416;0;0;3;9;5;0;2;3;6;4;2;4;38
8414A;0;0;3;7;5;0;2;2;6;3;2;4;34
2422;4;0;2;10;2;2;4;3;6;8;15;8;64
2539;4;1;2;10;2;3;3;2;5;9;16;7;64
2614;3;2;3;9;0;4;4;2;1;10;16;7;61
9390;6;2;3;11;8;3;4;3;3;3;10;7;63
9434;4;1;1;8;5;2;4;2;0;4;12;6;49
