Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;0;0;0;0;0;0;0;0;0;0;0;0;0
1387E;12;;0;0;0;0;0;0;0;0;0;2;
1428;3;2;0;0;0;0;0;0;0;0;0;2;7
8175;23;15;10;1;0;0;0;0;0;0;4;6;59
8178D;20;5;3;0;0;0;0;0;0;0;0;4;32
8025;1;0;0;0;0;0;0;0;0;0;0;0;1
8019;0;0;;;0;;0;;0;0;0;0;
6325O;0;0;0;0;0;0;0;0;0;0;0;0;0
9091O;8;16;7;3;2;0;0;0;0;0;1;11;48
1212E;4;;0;0;0;;;0;0;;0;0;
1208H;0;0;0;0;0;0;0;0;0;0;0;0;0
1249I;6;0;0;0;0;0;0;0;0;0;0;0;6
2444;22;14;6;2;0;0;0;0;0;0;3;11;58
4452;16;2;0;0;0;0;0;0;0;0;0;0;18
B954;0;0;0;0;0;0;0;0;0;0;0;0;0
B893;0;0;0;0;0;0;0;0;0;0;0;0;0
B228;;0;0;0;0;0;0;0;0;0;0;;
B278;6;2;0;0;0;0;0;0;0;0;0;0;8
0200E;1;0;0;0;0;0;0;0;0;0;0;0;1
0076;0;0;0;0;0;0;0;0;0;0;0;0;0
1082;4;0;0;0;0;0;0;0;0;0;0;0;4
2331;23;20;18;4;2;0;0;0;0;0;3;11;81
3469A;11;1;0;0;0;0;0;0;0;0;0;0;12
5973;0;0;0;0;0;0;;0;0;;0;0;
5960;9;1;0;;0;;0;0;0;;0;0;
5910;0;0;0;0;0;0;0;0;0;0;0;0;0
6001;0;;;0;;;;0;0;0;0;;
1111;0;0;0;0;0;0;0;0;0;0;0;0;0
1109;3;0;0;0;0;0;0;0;0;0;0;0;3
8500A;0;0;0;0;0;0;0;0;0;0;0;0;0
5000C;0;0;0;0;0;0;0;0;0;0;0;0;0
4121;21;5;0;0;0;0;0;0;0;0;1;2;29
5402;13;2;;0;0;0;0;;0;0;1;0;
8096;23;16;3;0;0;0;0;0;0;0;3;7;52
1014;4;0;0;0;0;0;0;0;0;0;0;0;4
1024E;0;0;0;0;0;0;0;0;0;0;0;0;0
0367;23;;;0;0;;0;;0;;4;1;
5530E;25;20;7;0;0;0;0;0;0;0;5;8;65
5514;23;14;2;0;0;0;0;0;0;0;5;5;49
3013;26;26;26;7;3;1;0;0;0;0;7;16;112
4642E;0;0;0;0;0;0;0;0;0;0;0;0;0
9898;17;4;0;1;0;0;0;0;0;0;3;4;29
5270B;2;1;0;0;0;0;0;0;0;0;0;0;3
9170;2;10;3;0;0;0;0;0;0;0;0;2;17
C249I;0;0;0;0;;0;;0;;0;0;0;
C649I;0;0;0;;0;0;;0;;0;;;
C029O;0;0;0;0;;0;0;0;0;0;0;0;
2661;26;16;15;4;0;0;0;0;0;0;4;16;81
1549;19;11;3;0;0;0;0;0;0;0;1;9;43
9771C;17;7;0;0;0;0;0;0;0;0;2;0;26
1505;14;10;8;0;0;0;0;0;0;0;0;9;41
3191E;7;3;0;2;0;0;0;0;0;0;1;2;15
3129;22;17;2;0;0;0;0;0;0;0;2;5;48
3196;15;2;0;0;0;0;0;0;0;0;0;0;17
3200;18;2;0;0;0;0;0;0;0;0;0;2;22
3195;7;2;0;0;0;0;0;0;0;0;0;0;9
3175;24;21;6;0;0;0;0;0;0;0;3;6;60
2462;22;16;16;17;5;1;0;0;0;7;21;16;121
6155A;0;;0;0;0;0;0;0;0;0;0;0;
6000A;0;0;0;0;0;0;0;0;0;0;0;0;0
7178I;3;0;0;0;0;0;0;0;0;0;0;0;3
7228;9;0;0;0;0;0;0;0;0;0;0;0;9
7031;1;0;0;0;0;0;0;0;0;0;0;0;1
9262;2;3;0;0;0;0;0;0;0;0;1;;
9263D;13;16;5;4;1;0;;0;0;0;4;7;
1690A;15;4;1;0;0;0;0;0;0;0;0;5;25
1484C;0;0;0;0;0;0;0;0;0;0;0;0;0
1495;0;0;0;;0;0;0;0;0;0;0;3;
2867;23;23;20;5;0;0;0;0;0;2;5;14;92
2870;22;10;3;1;0;;;0;0;0;1;6;
C929I;0;0;0;0;0;0;0;0;0;0;0;;
C430E;6;5;10;8;0;0;0;0;0;1;2;6;38
C139E;0;0;0;;;0;0;0;0;0;;0;
C449C;0;0;0;0;0;0;0;0;0;0;0;0;0
C447A;;0;;0;;0;0;0;0;0;0;0;
C429I;0;0;0;0;0;0;0;0;0;0;0;;
2465;18;4;5;1;0;0;0;0;0;0;2;1;31
5796;4;0;0;0;0;0;0;0;0;0;0;0;4
5783;0;0;0;0;0;0;;;0;0;0;0;
2030;21;21;11;2;1;0;0;0;0;0;6;12;74
0016A;7;0;0;0;0;0;0;0;0;0;0;0;7
9981A;0;1;0;0;0;0;0;0;0;0;0;0;1
9381I;23;23;19;3;1;0;0;0;0;0;5;13;87
8368U;24;25;21;2;1;0;0;0;0;0;6;17;96
3260B;21;5;0;;0;0;0;0;;;1;3;
8416;0;0;0;0;0;0;0;0;0;0;0;0;0
8414A;3;0;0;0;0;0;0;0;0;0;0;0;3
2422;20;12;2;1;0;0;0;0;0;0;2;6;43
2539;27;19;12;5;1;0;0;0;0;0;5;14;83
2614;20;12;5;0;0;0;0;0;0;0;2;7;46
9390;23;21;17;2;1;0;0;0;0;0;3;12;79
9434;5;2;0;0;0;0;0;0;0;0;0;1;8
