Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;7;;7;;;;;2;1;4;21;;
1387E;5;;;;4;;1;2;;;;10;
1428;1;3;3;5;2;1;1;2;1;1;10;8;38
8175;6;3;;;2;3;;;;;;;
8178D;2;;1;3;1;0;0;0;1;0;3;5;
8025;0;2;0;;;0;0;0;3;0;;2;
8019;5;3;;;1;;3;;;4;;11;
6325O;6;5;9;9;5;6;8;;6;;15;6;
9091O;6;3;4;;2;2;3;;1;;;7;
1212E;;;7;;;;;1;1;;19;12;
1249I;1;3;4;2;1;1;1;0;0;0;11;8;32
2444;3;2;1;;2;2;2;0;1;1;7;7;
4452;1;1;2;6;0;0;0;0;1;0;3;3;17
B954;7;;5;10;2;0;;1;4;1;16;10;
B893;18;6;8;;10;;;4;7;;9;12;
B228;6;1;0;1;2;1;0;0;2;1;3;4;21
B278;6;3;5;7;;1;2;2;3;;8;10;
0200E;12;1;2;5;0;0;5;0;3;4;12;12;56
0076;;;;;;;1;;;;;;
1082;7;3;4;7;2;5;1;0;2;;;;
2331;3;2;;;2;3;5;2;;2;9;;
3469A;2;1;2;1;1;1;1;0;1;1;8;4;23
5973;1;8;12;4;8;2;1;2;2;;2;;
5960;1;;;;2;;;0;;;;;
5910;2;7;9;6;7;1;0;1;1;0;2;4;40
6001;8;;;11;;;;9;12;12;7;;
1111;;4;8;6;4;4;0;0;3;7;19;9;
1109;7;5;5;6;2;2;0;0;;4;18;11;
8500A;4;3;0;3;0;1;0;1;2;0;1;2;17
5000C;9;3;6;;4;;1;2;1;;11;3;
4121;0;1;2;2;0;0;;0;;0;1;3;
5402;;1;;;1;;1;;0;;2;;
8096;1;2;1;1;0;1;0;0;0;0;;3;
1014;4;3;5;;1;;1;1;0;1;;11;
1024E;10;11;9;9;5;8;;1;6;9;21;15;
5530E;0;1;1;;1;1;1;0;2;0;2;1;
5514;0;1;;;0;0;1;0;2;1;1;1;
3013;2;1;1;4;0;1;0;0;0;0;;;
4642E;3;2;1;5;0;1;0;0;1;1;1;4;19
9898;3;;0;;0;;1;0;0;1;1;;
5270B;1;3;4;3;1;;;;;0;;;
9170;2;1;1;;;;;0;0;0;5;;
C249I;3;;2;;;1;;5;;1;11;;
C649I;;3;;;18;;;;;;15;;
C029O;6;;4;13;;;;;5;9;;7;
2661;;3;6;;3;3;2;1;;2;9;5;
1549;0;1;0;0;0;0;;0;0;0;0;1;
9771C;;1;;0;5;1;;0;;0;;;
1505;;2;2;0;;0;0;2;0;0;2;4;
3191E;6;3;3;8;2;3;3;;4;;9;6;
3129;;;;;6;7;7;;;;;6;
3196;6;2;1;7;3;6;1;2;1;3;7;;
3200;5;3;2;;;4;2;2;5;2;11;5;
3195;;;1;1;2;0;0;1;2;1;2;;
3175;;3;3;7;3;6;5;5;4;;8;;
2462;11;;6;17;;14;6;;6;;24;12;
6155A;5;;2;2;2;2;0;1;;;7;;
6000A;;;;;;;;0;;;;7;
7178I;3;2;0;3;0;0;1;0;1;0;5;0;15
7228;4;3;1;;1;0;0;0;2;0;6;1;
9263D;7;3;;3;;7;;2;;;7;7;
1690A;;0;0;0;0;0;0;0;0;0;0;2;
1484C;2;3;3;4;;;0;1;0;0;;;
1495;3;;3;;2;;0;1;;0;11;6;
2867;;;3;8;;;1;;2;;13;9;
2870;2;1;1;4;2;;;0;0;1;5;4;
C929I;;7;10;;4;;;;0;;13;;
C430E;7;;7;15;8;10;7;6;17;13;18;19;
C139E;4;3;4;;;;;1;0;0;;7;
C449C;;2;2;1;;0;;0;0;1;;2;
C447A;;4;;9;;7;15;5;;1;6;;
C429I;4;5;12;5;9;;17;;8;;15;;
2465;2;;2;;2;8;3;0;2;3;9;;
5796;0;1;1;1;0;0;0;0;1;1;;4;
5783;1;;2;;;0;;;1;2;;;
2030;4;1;2;;2;0;0;0;1;1;4;5;
0016A;;5;5;;;;;1;2;;;10;
9981A;14;4;8;6;8;1;6;0;;5;13;9;
9381I;4;3;;3;3;1;0;2;1;0;5;;
8368U;2;3;1;0;1;0;0;0;0;0;1;3;11
3260B;5;3;2;;1;1;2;1;;;9;6;
8414A;;4;;;2;;1;3;3;0;16;7;
2422;1;1;1;4;1;;1;;1;0;4;;
2614;0;0;0;1;0;;;0;0;0;;;
9390;2;2;1;2;3;;;;0;;6;;
9434;20;7;10;;;;;;;4;13;;
