Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
9981A;6.9;8.9;9.4;6.9;9.5;10.8;11.3;9.9;8.6;7.3;5.8;4.9;8.4
9381I;5.7;8.9;9.0;5.5;9.0;10.2;9.6;9.6;8.4;7.2;4.2;4.9;7.7
8368U;5.8;8.7;;6.3;9.7;11.1;11.2;10.5;7.9;7.0;4.9;4.4;
3260B;;9.1;10.1;;11.7;12.9;12.1;11.7;;;4.5;3.7;
8416;6.6;7.8;8.7;6.8;8.8;9.8;10.1;;;7.4;6.2;4.6;
8414A;7.6;8.6;9.3;7.4;10.0;11.7;11.3;10.2;7.7;8.1;6.8;5.2;8.7
2422;4.8;8.0;9.4;7.5;10.1;10.5;9.9;10.0;9.0;6.2;2.9;2.8;7.6
2539;5.2;7.8;8.4;7.4;11.4;11.3;11.1;10.7;8.4;6.0;3.0;3.4;7.8
2614;3.8;6.7;8.7;7.8;11.6;;11.7;10.4;8.8;5.8;2.8;;
9390;4.8;8.2;8.9;6.1;9.6;10.9;10.6;10.5;8.5;6.6;4.4;4.1;7.8
9434;5.9;8.7;10.1;7.4;11.1;11.7;11.2;11.2;9.7;7.4;5.3;;
