Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
6000A;17.3;17.3;18.8;20.6;24.4;25.5;28.8;30.0;27.3;24.8;20.0;18.4;22.8
7178I;18.2;20.1;22.2;22.2;27.6;31.8;35.4;35.1;30.0;27.1;20.7;18.9;25.8
7228;17.5;19.7;22.1;22.5;28.1;32.2;35.9;35.6;30.5;27.0;20.6;18.4;25.8
7031;17.3;17.5;18.9;20.8;23.2;26.5;30.2;29.9;27.6;25.1;20.8;18.3;23.0
9262;8.9;14.7;15.5;16.8;19.1;28.0;29.4;30.0;25.7;20.9;11.8;;
9263D;8.5;14.6;16.0;17.2;19.7;28.7;;31.3;26.6;21.2;12.2;11.6;
1690A;12.3;18.0;20.6;19.6;25.6;24.8;31.2;30.7;28.3;21.7;15.0;13.1;21.7
1484C;13.3;16.3;18.0;17.3;22.4;20.7;25.9;25.1;24.7;18.9;13.9;14.0;19.2
1495;12.0;15.7;17.2;;21.8;20.3;25.7;24.6;25.1;18.3;13.5;14.9;
2867;8.6;15.3;17.3;16.7;24.0;27.3;31.8;30.3;26.0;20.8;12.0;11.4;20.1
2870;10.1;16.0;18.0;17.3;24.5;;;30.9;26.3;21.0;12.5;12.1;
C929I;20.6;21.8;20.6;21.2;22.6;24.5;25.1;25.9;25.8;25.5;23.3;;
C430E;8.8;10.0;10.3;11.1;17.7;18.0;21.2;22.7;20.5;16.7;11.2;10.3;14.9
C139E;20.9;22.2;21.1;;;24.2;25.4;26.7;26.0;25.5;;22.5;
C449C;21.2;22.5;22.3;23.2;25.2;26.3;28.3;29.6;28.1;26.8;24.4;22.9;25.1
C447A;;18.7;;18.0;;22.2;22.4;26.8;24.7;23.8;19.6;18.2;
C429I;21.9;24.2;23.1;23.2;24.9;26.0;27.9;29.9;28.1;27.4;25.6;;
2465;7.9;13.7;15.8;14.5;21.7;26.7;30.9;29.6;24.4;19.5;10.1;11.5;18.9
5796;16.5;19.9;22.0;21.6;29.4;30.3;33.3;35.9;31.9;27.0;18.6;17.9;25.4
5783;17.0;20.4;23.0;22.5;30.9;31.5;;;32.3;27.6;19.2;18.4;
2030;10.3;14.8;16.2;14.0;20.0;26.9;30.1;29.7;23.8;19.8;9.5;12.1;18.9
0016A;14.4;17.1;19.8;20.0;23.0;27.4;31.9;30.9;28.1;24.5;17.5;16.7;22.6
9981A;15.3;19.4;22.6;21.9;25.8;30.8;35.1;34.0;30.8;26.2;19.0;17.1;24.8
9381I;9.6;15.7;16.9;15.7;21.1;29.8;32.5;31.5;25.9;21.7;12.0;12.1;20.4
8368U;10.5;16.1;17.8;16.1;22.3;29.8;33.7;32.9;26.9;22.1;13.3;13.0;21.2
3260B;13.4;18.0;20.4;;27.8;32.3;36.5;35.1;;;14.8;13.5;
8416;17.6;18.7;20.3;20.5;23.0;27.0;30.9;30.9;28.0;25.8;20.9;18.7;23.5
8414A;17.3;18.9;20.9;20.6;24.1;28.4;32.5;32.1;28.4;25.9;20.3;18.1;24.0
2422;9.1;14.8;16.9;16.5;23.1;28.1;32.2;30.8;25.4;20.1;11.7;10.2;19.9
2539;8.7;13.2;15.1;15.0;21.7;26.4;30.8;29.5;24.4;19.3;11.2;10.1;18.8
2614;9.8;14.9;17.8;17.8;25.0;27.6;32.9;31.7;27.0;20.9;13.2;10.2;20.7
9390;10.1;16.1;17.4;16.1;21.5;29.8;32.3;31.6;26.1;22.0;12.2;12.5;20.6
9434;10.9;16.4;19.2;19.4;24.1;32.0;34.4;33.6;28.3;23.5;15.3;12.9;22.5
