Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
% Humedad del suelo sobre una capacidad de 25 mm;PRINCIPADO DE ASTURIAS;100.0;48.4;28.0;49.6;20.4;42.0;28.8;28.8;34.0;92.0;100.0;74.4
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DE BALEARES;54.0;12.0;9.6;15.6;7.6;0.4;1.2;24.8;12.0;57.6;65.6;30.8
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DE CANTABRIA;100.0;41.2;32.4;46.4;33.6;22.0;57.2;46.8;32.0;82.8;100.0;73.2
% Humedad del suelo sobre una capacidad de 25 mm;CIUDAD AUTÓNOMA DE CEUTA;100.0;24.4;30.4;48.8;0.8;0.8;0.8;0.4;0.4;35.6;87.6;55.2
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DE LA RIOJA;95.6;27.2;10.8;46.0;24.0;6.0;28.4;16.0;27.6;62.0;98.8;68.0
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD DE MADRID;76.4;14.8;3.2;40.4;0.8;0.4;0.4;28.4;20.8;53.6;99.2;74.4
% Humedad del suelo sobre una capacidad de 25 mm;CIUDAD AUTÓNOMA DE MELILLA;14.4;3.2;100.0;11.2;0.8;0.8;0.4;0.4;4.0;36.8;54.4;18.4
% Humedad del suelo sobre una capacidad de 25 mm;REGIÓN DE MURCIA;6.0;2.0;53.2;28.8;1.2;0.4;0.4;10.0;12.0;44.0;34.0;27.6
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD FORAL DE NAVARRA;92.8;25.6;18.8;50.0;40.8;4.4;26.4;15.2;26.4;71.6;98.8;78.0
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DE CANARIAS;19.2;10.4;41.6;2.8;0.8;1.6;1.2;0.4;2.4;22.0;16.4;12.0
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DE ANDALUCÍA;84.0;14.4;24.4;31.2;0.4;0.4;0.4;3.6;6.8;25.2;80.4;57.6
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DE ARAGÓN;72.8;17.2;36.4;35.2;15.6;1.2;7.2;20.8;13.6;58.4;80.0;67.2
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DE CASTILLA-LA MANCHA;70.0;12.4;26.8;42.8;1.2;0.4;0.4;17.2;17.2;46.4;90.4;73.2
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DE CASTILLA Y LEÓN;97.2;30.8;8.8;45.2;4.8;8.8;8.8;15.2;25.6;76.4;100.0;81.6
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DE CATALUÑA;56.4;15.6;4.0;33.6;28.0;2.4;21.2;26.8;23.2;66.8;74.8;69.6
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DE EXTREMADURA;92.0;18.0;11.6;34.0;0.4;0.4;0.4;4.4;9.2;38.8;96.8;74.4
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DE GALICIA;100.0;45.6;18.8;59.2;8.0;25.6;11.2;11.2;64.8;98.0;100.0;83.2
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DEL PAÍS VASCO;100.0;29.2;30.8;56.8;49.6;10.0;84.4;23.6;45.6;77.6;100.0;78.4
% Humedad del suelo sobre una capacidad de 25 mm;COMUNITAT VALENCIANA;10.8;2.4;79.6;33.6;5.6;0.4;1.6;26.0;14.0;45.2;28.4;31.6
