Indicativo;parámetro;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
9771C;Q1;-0.1;3.6;7.1;10.7;13.6;18.7;24.2;23.0;17.8;12.6;4.6;-0.6;-1.2
9771C;Q2;2.2;6.3;11.2;12.1;15.6;21.0;25.4;24.4;19.8;14.9;6.0;1.0;0.4
9771C;Q3;3.5;7.7;11.8;13.5;18.2;23.5;27.4;25.6;21.0;16.2;8.2;2.4;1.4
9771C;Q4;5.1;9.0;12.7;14.3;19.5;24.8;29.4;27.4;22.2;17.6;10.6;3.9;3.0
9771C;Max;8.5;13.4;16.4;17.4;22.2;26.8;31.4;28.9;24.6;21.5;13.0;6.5;4.5
9771C;Mn;3.2;6.5;11.6;13.2;17.0;22.5;26.0;25.2;20.6;15.5;7.0;1.7;1.1
9771C;Md;2.7;6.6;10.6;12.7;16.7;21.8;26.7;25.1;20.1;15.2;7.4;1.7;0.7
9771C;S;2.78;3.12;3.47;2.07;3.22;3.41;2.55;2.28;2.55;2.88;3.23;2.75;2.37
9771C;Cv;1.04;0.48;0.33;0.16;0.19;0.16;0.10;0.09;0.13;0.19;0.44;1.62;3.36
1505;N;24;23;23;24;25;24;25;26;26;26;25;25;20
1505;Min;-1.4;2.0;1.0;4.8;9.0;11.4;14.6;14.6;13.0;9.3;3.4;0.5;-1.4
1505;Q1;2.4;4.0;7.3;7.4;9.8;13.5;16.1;16.9;13.9;10.6;5.0;3.2;1.2
1505;Q2;4.1;5.7;8.0;7.9;11.2;15.0;17.6;18.6;14.9;12.6;7.4;4.2;2.6
1505;Q3;4.8;7.2;8.4;9.0;12.0;15.6;18.4;19.6;16.1;13.4;8.0;5.4;3.4
1505;Q4;6.4;8.8;9.7;10.7;12.9;17.0;19.1;20.2;17.0;13.9;9.0;6.1;4.6
1505;Max;8.0;10.2;14.4;12.8;16.4;18.8;21.4;21.4;18.2;15.6;10.4;9.6;5.2
1505;Mn;4.5;6.4;8.2;8.4;11.8;15.4;18.0;19.3;15.9;13.0;7.8;5.0;3.3
1505;Md;4.3;6.2;8.3;8.8;11.7;15.3;17.7;18.8;15.6;12.6;7.1;4.9;2.9
1505;S;2.27;2.37;2.49;1.87;1.88;1.74;1.63;1.69;1.56;1.68;1.98;2.03;1.71
1505;Cv;0.53;0.38;0.30;0.21;0.16;0.11;0.09;0.09;0.10;0.13;0.28;0.42;0.59
3191E;N;25;26;26;26;25;25;25;26;25;25;25;20;17
3191E;Min;-2.1;-1.2;2.0;2.0;7.0;12.0;14.0;17.6;11.4;5.8;1.3;-0.6;-2.1
3191E;Q1;-0.9;1.4;3.6;6.1;9.1;14.9;21.0;20.0;13.2;8.5;4.3;2.0;-0.7
3191E;Q2;1.0;2.5;5.2;7.2;10.1;17.0;21.9;21.7;15.4;10.3;5.7;3.0;1.0
3191E;Q3;2.3;4.5;6.0;8.0;11.1;19.3;22.8;23.5;16.4;11.5;6.3;3.4;1.7
3191E;Q4;4.0;5.9;7.5;9.3;13.7;20.9;25.1;24.8;18.1;12.3;7.2;4.0;2.5
3191E;Max;5.8;9.2;14.0;12.2;16.2;22.6;26.5;25.8;23.5;14.6;8.0;5.5;4.0
3191E;Mn;1.5;3.0;5.6;7.6;10.2;18.0;22.2;22.6;15.6;10.5;6.0;3.1;1.4
3191E;Md;1.7;3.7;5.9;7.6;11.0;17.8;22.3;22.4;15.8;10.5;5.7;3.0;1.2
3191E;S;2.16;2.63;2.83;2.16;2.40;3.09;2.82;2.35;2.90;2.17;1.70;1.41;1.67
3191E;Cv;1.25;0.71;0.48;0.28;0.22;0.17;0.13;0.10;0.18;0.21;0.30;0.47;1.41
3129;N;30;30;30;29;30;30;30;30;30;28;30;28;28
