Indicativo,NOMBRE,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,media anual,Tipo
3191E,COLMENAR VIEJO/FAMET,62.0,58.0,48.0,64.0,45.0,36.0,35.0,40.0,51.0,64.0,81.0,76.0,55.0,HR
3129,MADRID/BARAJAS,64.0,59.0,47.0,56.0,37.0,28.0,28.0,33.0,50.0,62.0,81.0,78.0,51.92,HR
3196,MADRID/CUATRO VIENTOS,64.0,57.0,47.0,58.0,40.0,33.0,31.0,37.4,52.0,65.4,81.0,77.0,53.57,HR
3200,MADRID/GETAFE,63.0,58.8,45.0,58.0,40.0,32.0,31.0,37.4,49.0,61.0,81.0,78.0,52.85,HR
3195,"MADRID,RETIRO",64.6,58.8,47.0,57.0,45.0,40.0,32.5,35.0,43.0,65.4,67.0,67.0,51.86,HR
3175,MADRID/TORREJÓN,67.0,59.0,48.0,61.0,39.0,29.0,29.0,35.0,52.0,66.0,77.0,82.0,53.67,HR
2462,"NAVACERRADA,PUERTO",68.0,61.0,60.0,80.0,54.0,45.0,41.0,44.0,60.0,74.0,99.0,76.3,63.52,HR
