Indicativo,NOMBRE,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,media anual,Tipo
3129,MADRID/BARAJAS,16.0,18.0,11.0,4.0,9.0,12.0,12.0,18.0,9.0,10.0,1.0,5.0,10.42,N_DES
3196,MADRID/CUATRO VIENTOS,15.0,14.0,14.0,2.0,8.0,10.0,12.0,13.0,9.0,6.0,0.0,3.0,8.83,N_DES
3200,MADRID/GETAFE,11.0,14.0,13.0,2.0,8.0,8.0,10.0,14.0,8.0,6.0,0.0,3.0,8.08,N_DES
3195,"MADRID,RETIRO",14.0,18.0,13.0,4.0,9.0,14.0,11.0,16.0,11.0,8.0,0.0,4.3,10.19,N_DES
3175,MADRID/TORREJÓN,13.0,15.0,12.0,4.0,6.0,10.0,11.0,12.0,9.0,5.0,0.0,4.0,8.42,N_DES
2462,"NAVACERRADA,PUERTO",9.0,10.0,9.0,1.0,8.0,6.0,9.0,8.0,10.0,3.0,0.0,4.0,6.42,N_DES
3191E,COLMENAR VIEJO/FAMET,12.0,14.0,14.0,14.0,19.0,17.0,20.0,16.0,16.0,20.0,18.0,14.0,16.17,N_NUB
3129,MADRID/BARAJAS,12.0,9.0,19.0,18.0,20.0,17.0,19.0,12.0,18.0,14.0,17.0,15.0,15.83,N_NUB
3196,MADRID/CUATRO VIENTOS,11.0,13.0,15.0,18.0,19.0,19.0,19.0,16.0,17.0,20.0,21.0,17.0,17.08,N_NUB
3200,MADRID/GETAFE,15.0,13.0,16.0,19.0,22.0,21.0,21.0,16.0,19.0,21.0,19.0,18.0,18.33,N_NUB
3195,"MADRID,RETIRO",13.0,9.0,17.0,17.0,21.0,15.0,20.0,13.0,16.0,19.0,18.0,15.83,16.15,N_NUB
3175,MADRID/TORREJÓN,14.0,13.0,17.0,17.0,22.0,19.0,20.0,18.0,17.0,23.0,17.0,18.0,17.92,N_NUB
2462,"NAVACERRADA,PUERTO",10.0,12.0,18.0,10.0,15.0,22.0,20.0,20.0,11.0,16.0,1.0,13.0,14.0,N_NUB
3191E,COLMENAR VIEJO/FAMET,4.0,0.0,2.0,12.0,3.0,1.0,0.0,2.0,5.0,4.0,11.0,10.0,4.5,N_CUB
3129,MADRID/BARAJAS,3.0,1.0,1.0,8.0,2.0,1.0,0.0,1.0,3.0,7.0,12.0,11.0,4.17,N_CUB
3196,MADRID/CUATRO VIENTOS,5.0,1.0,2.0,10.0,4.0,1.0,0.0,2.0,4.0,5.0,9.0,11.0,4.5,N_CUB
3200,MADRID/GETAFE,5.0,1.0,2.0,9.0,1.0,1.0,0.0,1.0,3.0,4.0,11.0,10.0,4.0,N_CUB
3195,"MADRID,RETIRO",4.0,1.0,1.0,9.0,1.0,1.0,0.0,2.0,3.0,4.0,12.0,10.83,4.07,N_CUB
3175,MADRID/TORREJÓN,4.0,0.0,2.0,9.0,3.0,1.0,0.0,1.0,4.0,3.0,13.0,9.0,4.08,N_CUB
2462,"NAVACERRADA,PUERTO",12.0,6.0,4.0,19.0,8.0,2.0,2.0,3.0,9.0,12.0,29.0,14.0,10.0,N_CUB
