Indicativo,NOMBRE,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,media anual,Tipo
3191E,COLMENAR VIEJO/FAMET,68.0,78.0,79.0,49.0,73.0,77.0,77.0,76.0,63.0,59.0,37.0,46.0,65.17,P_SOL
3129,MADRID/BARAJAS,70.0,82.0,81.0,48.0,77.0,80.0,80.0,79.6,68.0,64.0,39.0,42.0,67.55,P_SOL
3196,MADRID/CUATRO VIENTOS,75.0,85.0,78.0,55.0,82.0,82.0,82.0,82.0,68.0,67.0,47.0,50.0,71.08,P_SOL
3200,MADRID/GETAFE,74.0,84.0,79.0,55.0,80.0,81.0,81.0,84.0,70.0,68.0,46.0,48.0,70.83,P_SOL
3175,MADRID/TORREJÓN,75.0,86.0,75.0,48.6,81.0,84.0,83.0,82.0,66.0,64.0,45.0,37.0,68.88,P_SOL
2462,"NAVACERRADA,PUERTO",46.0,68.0,71.0,36.0,65.0,74.0,76.0,74.0,61.0,51.0,7.0,41.0,55.83,P_SOL
