Indicativo,NOMBRE,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,media anual,Tipo
3191E,COLMENAR VIEJO/FAMET,0.0,0.0,0.0,0.0,1.0,7.0,24.0,18.0,2.0,0.0,0.0,0.0,4.33,NT_30
3129,MADRID/BARAJAS,0.0,0.0,0.0,0.0,7.0,16.0,29.0,28.0,9.0,1.0,0.0,0.0,7.5,NT_30
3196,MADRID/CUATRO VIENTOS,0.0,0.0,0.0,0.0,5.0,14.0,29.0,26.0,5.0,0.0,0.0,0.0,6.58,NT_30
3200,MADRID/GETAFE,0.0,0.0,0.0,0.0,6.0,16.0,29.0,27.0,8.0,1.0,0.0,0.0,7.25,NT_30
3195,"MADRID,RETIRO",0.0,0.0,0.0,0.0,5.0,14.0,30.0,25.0,4.0,0.0,0.0,0.0,6.5,NT_30
3175,MADRID/TORREJÓN,0.0,0.0,0.0,0.0,6.0,17.0,29.0,28.0,8.0,0.0,0.0,0.0,7.33,NT_30
2462,"NAVACERRADA,PUERTO",0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,NT_30
3191E,COLMENAR VIEJO/FAMET,7.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.25,NT_00
3129,MADRID/BARAJAS,22.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,4.0,NT_00
3196,MADRID/CUATRO VIENTOS,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,NT_00
3200,MADRID/GETAFE,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.83,NT_00
3195,"MADRID,RETIRO",7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,NT_00
3175,MADRID/TORREJÓN,24.0,21.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,5.0,NT_00
2462,"NAVACERRADA,PUERTO",22.0,16.0,16.0,17.0,5.0,1.0,0.0,0.0,0.0,7.0,21.0,16.0,10.08,NT_00
