Parámetro,región,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre,anual
% Humedad del suelo sobre una capacidad de 25 mm,COMUNIDAD DE MADRID,76.4,14.8,3.2,40.4,0.8,0.4,0.4,28.4,20.8,53.6,99.2,74.4,34.4
% Humedad del suelo sobre una capacidad de 75 mm,COMUNIDAD DE MADRID,78.4,45.1,19.1,64.3,8.7,0.8,0.5,21.2,33.9,45.3,78.9,90.3,40.54
