Indicativo,NOMBRE,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,media anual,Tipo
3191E,COLMENAR VIEJO/FAMET,6.5,8.3,9.4,6.5,10.6,11.7,11.3,10.5,7.9,6.6,3.7,4.3,8.11,INSO
3129,MADRID/BARAJAS,6.7,8.7,9.7,6.3,11.2,12.0,11.7,10.9,8.5,7.2,3.9,4.0,8.4,INSO
3196,MADRID/CUATRO VIENTOS,7.3,9.1,9.3,7.3,11.9,12.3,12.1,11.3,8.4,7.5,4.7,4.6,8.82,INSO
3200,MADRID/GETAFE,7.1,9.0,9.5,7.4,11.5,12.1,12.0,11.5,8.7,7.6,4.6,4.4,8.78,INSO
3175,MADRID/TORREJÓN,7.2,9.2,8.9,6.4,11.8,12.7,12.3,11.3,8.2,7.2,4.5,3.4,8.59,INSO
2462,"NAVACERRADA,PUERTO",4.3,7.3,8.5,4.8,9.4,11.1,11.2,10.3,7.5,5.7,0.6,3.8,7.04,INSO
